Chrom	Start	End	CN	Stage1Status	Stage1KeptSubtype	FailReason	FailDetails	UnfilteredGainsMatchCount	UnfilteredGainsMatches
chr1	641700	1010870	2.17578348605497	FILTERED	-	CN < Threshold	CN=2.18 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	1010870	1280596	1.8627821980357981	FILTERED	-	CN < Threshold	CN=1.86 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	1280596	1865002	1.6200541098870072	FILTERED	-	CN < Threshold	CN=1.62 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	1865002	2169692	1.8136109415188666	FILTERED	-	CN < Threshold	CN=1.81 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	2169692	2789314	2.03918957080829	FILTERED	-	CN < Threshold	CN=2.04 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	2789314	3539992	2.301113269153323	FILTERED	-	CN < Threshold	CN=2.30 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	3539992	4115237	2.012977909286371	FILTERED	-	CN < Threshold	CN=2.01 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	4115237	6049753	2.297528885822481	FILTERED	-	CN < Threshold	CN=2.30 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	6049753	6234706	2.0688050472519297	FILTERED	-	CN < Threshold	CN=2.07 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	6234706	6934531	1.757842727846165	FILTERED	-	CN < Threshold	CN=1.76 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	6934531	7814310	2.1783322231006985	FILTERED	-	CN < Threshold	CN=2.18 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	7814310	8744077	1.6247435266870638	FILTERED	-	CN < Threshold	CN=1.62 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	8744077	9208961	1.4578537523989876	FILTERED	-	CN < Threshold	CN=1.46 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	9208961	9548876	1.6293347061533399	FILTERED	-	CN < Threshold	CN=1.63 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	9548876	10563621	1.376204627565359	FILTERED	-	CN < Threshold	CN=1.38 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	10563621	10938527	1.7253080799553258	FILTERED	-	CN < Threshold	CN=1.73 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	10938527	11183466	1.4955902798849694	FILTERED	-	CN < Threshold	CN=1.50 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	11183466	11493388	1.6521526612668163	FILTERED	-	CN < Threshold	CN=1.65 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	11493388	11688340	1.8828000546299635	FILTERED	-	CN < Threshold	CN=1.88 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	11688340	12438152	1.6143719357982078	FILTERED	-	CN < Threshold	CN=1.61 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	12438152	12843050	1.8020112275672173	FILTERED	-	CN < Threshold	CN=1.80 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	12843050	12898036	1.2385198576187129	FILTERED	-	CN < Threshold	CN=1.24 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	12898036	13008009	2.0436364885626515	FILTERED	-	CN < Threshold	CN=2.04 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	13008009	13138580	1.2171331480202139	FILTERED	-	CN < Threshold	CN=1.22 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	13138580	13219912	2.0182032874130225	FILTERED	-	CN < Threshold	CN=2.02 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	13319912	13476396	1.2723953459118613	FILTERED	-	CN < Threshold	CN=1.27 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	13476396	13557162	0.7204349117502372	FILTERED	-	CN < Threshold	CN=0.72 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	13607162	13782087	1.097185149177984	FILTERED	-	CN < Threshold	CN=1.10 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	13782087	14076961	1.5946181553988243	FILTERED	-	CN < Threshold	CN=1.59 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	14076961	15211476	1.9271289367327618	FILTERED	-	CN < Threshold	CN=1.93 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	15211476	15711262	1.7929944220080278	FILTERED	-	CN < Threshold	CN=1.79 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	15711262	15846204	1.6626574878848277	FILTERED	-	CN < Threshold	CN=1.66 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	15846204	16146076	1.420230406800468	FILTERED	-	CN < Threshold	CN=1.42 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	16146076	16251031	1.1842683283600695	FILTERED	-	CN < Threshold	CN=1.18 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	16251031	16585888	1.7160611944330226	FILTERED	-	CN < Threshold	CN=1.72 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	16585888	16710835	1.3292035027745956	FILTERED	-	CN < Threshold	CN=1.33 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	16710835	16855773	1.6223184066973748	FILTERED	-	CN < Threshold	CN=1.62 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	16855773	17275677	4.028631924951164	IN_UNFILTERED_GAINS	SPLIT_TRIM	-	-	1	chr1:16855773-17275677(4.029)
chr1	17275677	17740765	1.7653582694650902	FILTERED	-	CN < Threshold	CN=1.77 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg); MaxHighCNRunLen=419905	0	-
chr1	17740765	17845785	1.4363058575639187	FILTERED	-	CN < Threshold	CN=1.44 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	17845785	17910798	1.7163431250555152	FILTERED	-	CN < Threshold	CN=1.72 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	17910798	18190851	2.0167664171533044	FILTERED	-	CN < Threshold	CN=2.02 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	18190851	18795967	2.176575402685516	FILTERED	-	CN < Threshold	CN=2.18 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	18795967	19456093	1.9864357759849973	FILTERED	-	CN < Threshold	CN=1.99 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	19456093	19811160	1.7717155537751668	FILTERED	-	CN < Threshold	CN=1.77 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	19811160	19976192	1.49884895036098	FILTERED	-	CN < Threshold	CN=1.50 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	19976192	20236242	1.695374508345449	FILTERED	-	CN < Threshold	CN=1.70 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	20236242	20801349	1.9909109041151605	FILTERED	-	CN < Threshold	CN=1.99 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
chr1	20801349	21381460	1.6024629487015192	FILTERED	-	CN < Threshold	CN=1.60 <= 4.00 (ccg=4.00=4.0*1.00; Thresh=ccg)	0	-
